ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
5977,ENSG00000133884,DPF2,double PHD fingers 2,0.632722567,6.333193112,8.453243342,0.000436432,0.004902087,-0.250402184
10988,ENSG00000111142,METAP2,methionyl aminopeptidase 2,-1.040678273,6.601676907,-8.452407631,0.00043663,0.004902326,-0.261120284
101929768,NA,OSMR-DT,OSMR divergent transcript,1.335417519,0.03042207,8.396357004,0.000436798,0.004902326,0.717308623
85014,ENSG00000244187,TMEM141,transmembrane protein 141,1.507492506,5.3950346,8.450884023,0.000436992,0.004902562,-0.172176994
282973,ENSG00000188385,JAKMIP3,Janus kinase and microtubule interacting protein 3,-1.202945541,2.845319168,-8.445313647,0.000438318,0.004915497,0.220778644
115426,ENSG00000147854,UHRF2,ubiquitin like with PHD and ring finger domains 2,-0.465607963,5.011636996,-8.441020423,0.000439343,0.004925051,-0.15704154
7084,ENSG00000166548,TK2,thymidine kinase 2,0.561052719,5.278628565,8.433456055,0.000441157,0.004943022,-0.187416556
2553,ENSG00000104064,GABPB1,GA binding protein transcription factor subunit beta 1,-0.56974517,3.970292152,-8.432883162,0.000441295,0.004943022,-0.021246751
56852,ENSG00000070950,RAD18,RAD18 E3 ubiquitin protein ligase,-0.652458102,4.711504606,-8.431317985,0.000441671,0.004945289,-0.127197812
4241,ENSG00000163975,MELTF,melanotransferrin,0.975751277,6.558723079,8.426316618,0.000442877,0.004954887,-0.276716959
136332,ENSG00000155530,LRGUK,leucine rich repeats and guanylate kinase domain containing,-2.999222448,0.154341227,-8.425761193,0.000443011,0.004954887,0.723174793
10963,ENSG00000168439,STIP1,stress induced phosphoprotein 1,0.564691169,8.308332897,8.425591671,0.000443052,0.004954887,-0.323709973
81575,ENSG00000178878,APOLD1,apolipoprotein L domain containing 1,-1.006977594,3.892509318,-8.424447597,0.000443328,0.004956027,-0.003011998
387882,ENSG00000235162,C12orf75,chromosome 12 open reading frame 75,-4.024829523,-2.665992605,-8.422344168,0.000443837,0.004959763,0.756803517
55733,ENSG00000054392,HHAT,hedgehog acyltransferase,0.889628643,2.67129415,8.41880417,0.000444695,0.004967396,0.228711524
4247,ENSG00000168282,MGAT2,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0.695799988,5.142258912,8.417868265,0.000444922,0.004967979,-0.183045442
10746,ENSG00000169967,MAP3K2,mitogen-activated protein kinase kinase kinase 2,-1.177712578,6.459338542,-8.41661107,0.000445228,0.004969435,-0.275704458
1796,ENSG00000115325,DOK1,docking protein 1,1.628345421,2.739557529,8.414168462,0.000445822,0.00497411,0.242225346
6645,ENSG00000168807,SNTB2,syntrophin beta 2,-1.236024218,5.471227031,-8.411616844,0.000446443,0.004979088,-0.209417847
8189,ENSG00000125755,SYMPK,symplekin scaffold protein,0.501988467,6.865280918,8.409749461,0.000446899,0.004980031,-0.304097654
56940,ENSG00000112679,DUSP22,dual specificity phosphatase 22,0.596395355,4.87105681,8.408604729,0.000447178,0.004980031,-0.161610156
686,ENSG00000169814,BTD,biotinidase,0.820644036,4.035064232,8.408548022,0.000447192,0.004980031,-0.042660036
