ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
57650,ENSG00000163507,CIP2A,cellular inhibitor of PP2A,-2.22037311,6.110325823,-96.01368058,1.75E-09,4.98E-05,12.17081837
7474,ENSG00000114251,WNT5A,Wnt family member 5A,-9.121315533,-0.65668241,-67.76135619,1.03E-08,0.000146148,5.865799665
9993,ENSG00000070413,DGCR2,DiGeorge syndrome critical region gene 2,2.162754732,6.900307153,62.35251783,1.72E-08,0.000150536,10.66100482
55762,ENSG00000167562,ZNF701,zinc finger protein 701,-2.349569884,3.344891588,-58.77328191,2.12E-08,0.000150536,9.79130878
23350,ENSG00000163714,U2SURP,U2 snRNP associated SURP domain containing,-1.235057287,6.920543477,-52.03354036,3.94E-08,0.000210579,9.961028805
29801,ENSG00000099904,ZDHHC8,zinc finger DHHC-type palmitoyltransferase 8,1.682065034,5.822395839,50.36252641,4.64E-08,0.000210579,9.776463556
406984,ENSG00000207730,MIR200B,microRNA 200b,-5.388090649,-2.521943924,-49.18871102,5.24E-08,0.000210579,5.308511908
10409,ENSG00000176788,BASP1,brain abundant membrane attached signal protein 1,1.675465787,5.91800606,46.87135833,7.00E-08,0.000210579,9.404520678
6648,ENSG00000291237,SOD2,superoxide dismutase 2,1.892282439,8.248937171,49.28266456,7.39E-08,0.000210579,9.385349036
58191,ENSG00000161921,CXCL16,C-X-C motif chemokine ligand 16,1.06678432,6.485180351,45.92681346,7.42E-08,0.000210579,9.363372638
149775,ENSG00000235590,GNAS-AS1,GNAS antisense RNA 1,-5.475118561,-2.47864849,-45.06637685,8.16E-08,0.000210715,5.266517397
3491,ENSG00000142871,CCN1,cellular communication network factor 1,2.620510197,6.179212544,49.35863622,9.39E-08,0.000222122,9.126430884
55022,ENSG00000153823,PID1,phosphotyrosine interaction domain containing 1,1.806945075,2.705449589,40.71689287,1.37E-07,0.000298346,8.38300783
216,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1,-7.786075596,-1.324672822,-41.18101872,1.57E-07,0.000308265,5.328106335
9814,ENSG00000198089,SFI1,SFI1 centrin binding protein,-1.719216567,3.278456581,-39.32134681,1.63E-07,0.000308265,8.411558047
96610,NA,BMS1P20,BMS1 pseudogene 20,1.825957996,5.734255402,41.17138617,1.89E-07,0.000308265,8.466366072
4478,ENSG00000147065,MSN,moesin,3.41139871,9.980572942,42.63483069,1.91E-07,0.000308265,8.471727351
8682,ENSG00000162734,PEA15,proliferation and apoptosis adaptor protein 15,1.625910264,7.132791209,39.99777592,2.17E-07,0.000308265,8.32933934
3675,ENSG00000005884,ITGA3,integrin subunit alpha 3,1.344777414,9.839315894,38.50485404,2.20E-07,0.000308265,8.293880004
3383,ENSG00000090339,ICAM1,intercellular adhesion molecule 1,2.095979058,7.551937453,41.06716405,2.29E-07,0.000308265,8.29000203
246,ENSG00000161905,ALOX15,arachidonate 15-lipoxygenase,1.038260362,5.263973061,36.7288497,2.30E-07,0.000308265,8.244726737
11167,ENSG00000163430,FSTL1,follistatin like 1,2.269885438,5.913952891,40.68353901,2.40E-07,0.000308265,8.241485677
55370,NA,PPP4R1L,protein phosphatase 4 regulatory subunit 1 like (pseudogene),-1.35677078,3.391793629,-35.72152867,2.65E-07,0.000308265,8.029743638
598,ENSG00000171552,BCL2L1,BCL2 like 1,2.792896856,8.395985783,38.5572571,3.11E-07,0.000308265,7.977331285
58506,ENSG00000126461,SCAF1,SR-related CTD associated factor 1,1.221584782,7.4095328,35.27000199,3.21E-07,0.000308265,7.900081516
81553,ENSG00000197872,CYRIA,CYFIP related Rac1 interactor A,-6.284590508,-2.071367226,-34.71807336,3.23E-07,0.000308265,5.111112928
55749,ENSG00000060339,CCAR1,cell division cycle and apoptosis regulator 1,-1.953921814,6.226990615,-38.22289953,3.24E-07,0.000308265,7.941961651
84448,ENSG00000163995,ABLIM2,actin binding LIM protein family member 2,2.168974043,1.087525197,34.26114976,3.28E-07,0.000308265,7.013218769
9928,ENSG00000118193,KIF14,kinesin family member 14,-2.077934316,4.412024834,-37.02819202,3.42E-07,0.000308265,7.859844639
7576,ENSG00000198538,ZNF28,zinc finger protein 28,-2.207799931,4.525280403,-37.4450459,3.52E-07,0.000308265,7.83775709
3832,ENSG00000138160,KIF11,kinesin family member 11,-1.461588416,4.989550053,-34.80925237,3.55E-07,0.000308265,7.824387514
10914,ENSG00000090060,PAPOLA,poly(A) polymerase alpha,-0.986006497,6.901730933,-33.65706136,3.59E-07,0.000308265,7.770250601
2152,ENSG00000117525,F3,"coagulation factor III, tissue factor",0.842679118,7.745654388,33.52369251,3.66E-07,0.000308265,7.740998764
613,ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase,2.220812026,7.967639422,37.16402947,3.72E-07,0.000308265,7.79359442
7052,ENSG00000198959,TGM2,transglutaminase 2,2.300697718,7.515195035,36.78332046,3.91E-07,0.000308265,7.7445069
100124700,ENSG00000228630,HOTAIR,HOX transcript antisense RNA,-2.902197143,2.675227024,-35.32381737,3.91E-07,0.000308265,7.417610346
80380,ENSG00000197646,PDCD1LG2,programmed cell death 1 ligand 2,2.993773678,1.756609566,32.97568687,4.41E-07,0.000338757,7.014951178
55603,ENSG00000112773,TENT5A,terminal nucleotidyltransferase 5A,-1.58413926,2.84199331,-32.10675363,4.55E-07,0.000340182,7.468357521
57489,ENSG00000122417,ODF2L,outer dense fiber of sperm tails 2 like,-1.76003944,4.986881327,-34.43584732,4.94E-07,0.000359398,7.516509236
259266,ENSG00000066279,ASPM,assembly factor for spindle microtubules,-2.341776158,5.456060152,-34.78452612,5.12E-07,0.000363596,7.484915474
164284,ENSG00000198768,APCDD1L,APC down-regulated 1 like,2.452362424,3.727656775,34.58639897,5.27E-07,0.00036468,7.404326786
56944,ENSG00000116774,OLFML3,olfactomedin like 3,2.368813731,7.416682943,34.04904242,5.68E-07,0.000370552,7.353311222
2132,ENSG00000151348,EXT2,exostosin glycosyltransferase 2,0.846782271,7.606931306,30.60709264,5.80E-07,0.000370552,7.246960775
558,ENSG00000167601,AXL,AXL receptor tyrosine kinase,2.012037004,6.766420329,33.88093787,5.82E-07,0.000370552,7.33414461
128989,ENSG00000183597,TANGO2,transport and golgi organization 2 homolog,1.59159086,5.305369589,33.06758709,5.89E-07,0.000370552,7.329657727
81857,ENSG00000104973,MED25,mediator complex subunit 25,0.658195202,6.338814361,30.39952142,6.00E-07,0.000370552,7.229099004
57698,ENSG00000187164,SHTN1,shootin 1,-1.379320247,5.890007476,-32.11363496,6.31E-07,0.000375341,7.23647417
284021,ENSG00000271605,MILR1,mast cell immunoglobulin like receptor 1,-1.780463356,4.304935046,-32.26967423,6.53E-07,0.000375341,7.234235017
5054,ENSG00000106366,SERPINE1,serpin family E member 1,1.973506603,7.451514567,32.99963579,6.61E-07,0.000375341,7.19019988
92154,ENSG00000132613,MTSS2,MTSS I-BAR domain containing 2,1.024246353,6.241414082,29.9153253,6.64E-07,0.000375341,7.12723087
79675,ENSG00000138399,FASTKD1,FAST kinase domains 1,-1.221695758,3.779048334,-29.56546414,6.91E-07,0.000375341,7.147872777
23384,ENSG00000100014,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like,2.289262398,6.249484753,32.65917341,6.95E-07,0.000375341,7.156246057
23331,ENSG00000100154,TTC28,tetratricopeptide repeat domain 28,-7.88601147,-1.271273212,-32.5828628,7.03E-07,0.000375341,4.801205812
84446,ENSG00000160469,BRSK1,BR serine/threonine kinase 1,1.91468544,5.691303972,32.31231695,7.32E-07,0.000375341,7.110878898
160,ENSG00000196961,AP2A1,adaptor related protein complex 2 subunit alpha 1,0.879392568,7.802440135,29.12672811,7.45E-07,0.000375341,6.972169895
25957,ENSG00000132424,PNISR,PNN interacting serine and arginine rich protein,-1.754167348,6.438465685,-32.16495443,7.48E-07,0.000375341,7.071570009
728113,ENSG00000264230,ANXA8L1,annexin A8 like 1,2.050390621,5.750744136,32.11982327,7.53E-07,0.000375341,7.08014746
54585,ENSG00000163818,LZTFL1,leucine zipper transcription factor like 1,-1.608272634,4.724544267,-31.21386927,7.74E-07,0.000375374,7.058839962
340017,ENSG00000234111,LINC02433,long intergenic non-protein coding RNA 2433,-4.581454043,-2.927460046,-28.86628456,7.80E-07,0.000375374,4.611805062
2533,ENSG00000082074,FYB1,FYN binding protein 1,-3.121459443,2.779060935,-31.65824127,8.08E-07,0.000382456,6.835235487
27107,ENSG00000066422,ZBTB11,zinc finger and BTB domain containing 11,-1.351324148,5.81733219,-30.60551956,8.23E-07,0.000383207,6.95993913
351,ENSG00000142192,APP,amyloid beta precursor protein,0.80037202,9.072001376,28.28464393,8.65E-07,0.000395943,6.801894153
10276,ENSG00000173848,NET1,neuroepithelial cell transforming 1,-1.288621733,7.178065335,-30.36496913,8.97E-07,0.000404249,6.846717512
6892,ENSG00000231925,TAPBP,TAP binding protein,3.633380598,-3.413051599,27.90446198,9.26E-07,0.000410734,4.385923574
26054,ENSG00000112701,SENP6,SUMO specific peptidase 6,-1.128538147,5.98380521,-28.68859717,9.86E-07,0.000426038,6.738434933
1048,ENSG00000105388,CEACAM5,CEA cell adhesion molecule 5,-5.606459262,1.310659413,-30.31278868,9.97E-07,0.000426038,5.760986267
100507290,ENSG00000261221,ZNF865,zinc finger protein 865,1.273201178,6.794685657,29.49339615,1.04E-06,0.000426038,6.696262568
23786,ENSG00000099968,BCL2L13,BCL2 like 13,1.397393118,6.904589354,29.76366088,1.09E-06,0.000426038,6.656995538
8728,ENSG00000135074,ADAM19,ADAM metallopeptidase domain 19,-2.377443081,2.425958829,-28.60855035,1.09E-06,0.000426038,6.584034575
7748,ENSG00000005801,ZNF195,zinc finger protein 195,-1.71373658,3.499811364,-28.39697927,1.12E-06,0.000426038,6.685832416
23641,ENSG00000182195,LDOC1,LDOC1 regulator of NFKB signaling,1.738115604,6.738296987,29.57536207,1.12E-06,0.000426038,6.628854095
3098,ENSG00000156515,HK1,hexokinase 1,0.643765524,8.439715239,26.79125565,1.14E-06,0.000426038,6.501752352
84433,ENSG00000198286,CARD11,caspase recruitment domain family member 11,1.461240423,7.383539224,29.41186168,1.15E-06,0.000426038,6.586847473
55706,ENSG00000058804,NDC1,NDC1 transmembrane nucleoporin,-0.837646949,6.353990381,-26.68477703,1.16E-06,0.000426038,6.512223581
81502,ENSG00000101294,HM13,histocompatibility minor 13,1.835593618,8.266453193,29.23430653,1.19E-06,0.000426038,6.546561487
100874194,ENSG00000223392,CLDN10-AS1,CLDN10 antisense RNA 1,-3.254515,-3.589889838,-26.52394971,1.20E-06,0.000426038,4.261574198
101929191,ENSG00000253641,LINC03022,long intergenic non-protein coding RNA 3022,-3.254515,-3.589889838,-26.52394971,1.20E-06,0.000426038,4.261574198
101927787,ENSG00000228044,LOC101927787,uncharacterized LOC101927787,-1.948387693,2.594913086,-27.42434454,1.21E-06,0.000426038,6.551056204
9406,ENSG00000132485,ZRANB2,zinc finger RANBP2-type containing 2,-1.536859917,5.983224057,-29.08969651,1.22E-06,0.000426038,6.559411754
5991,ENSG00000080298,RFX3,regulatory factor X3,-1.774789084,2.904823588,-27.31553861,1.23E-06,0.000426038,6.565733065
64288,ENSG00000235109,ZSCAN31,zinc finger and SCAN domain containing 31,-2.647815084,3.47478837,-28.98502028,1.24E-06,0.000426038,6.587482421
94104,ENSG00000159086,PAXBP1,PAX3 and PAX7 binding protein 1,-1.942891919,3.604277168,-28.7144222,1.24E-06,0.000426038,6.597059968
3936,ENSG00000136167,LCP1,lymphocyte cytosolic protein 1,-1.956653309,5.03726941,-28.93126035,1.25E-06,0.000426038,6.568044577
7486,ENSG00000165392,WRN,WRN RecQ like helicase,-1.356851485,4.13839567,-27.34018086,1.26E-06,0.000426038,6.550870437
102466724,ENSG00000277681,MIR6739,microRNA 6739,-3.44459177,-3.493387632,-25.85471827,1.36E-06,0.000453619,4.251663853
83606,ENSG00000138867,GUCD1,guanylyl cyclase domain containing 1,2.254418739,7.031616684,28.36933551,1.37E-06,0.000453619,6.406864231
79365,ENSG00000123095,BHLHE41,basic helix-loop-helix family member e41,-1.98835807,5.828092834,-28.27620923,1.40E-06,0.000453619,6.420174638
51742,ENSG00000054267,ARID4B,AT-rich interaction domain 4B,-1.270504135,5.825876307,-27.69828541,1.41E-06,0.000453619,6.386209211
646627,ENSG00000259823,LYPD8,LY6/PLAUR domain containing 8,-4.17991142,-0.479142994,-26.54225788,1.42E-06,0.000453619,5.259686449
23413,ENSG00000107130,NCS1,neuronal calcium sensor 1,1.18932982,5.591865102,27.05856006,1.47E-06,0.000456636,6.33945595
55629,ENSG00000189266,PNRC2,proline rich nuclear receptor coactivator 2,-0.804023121,5.484231695,-25.46236019,1.47E-06,0.000456636,6.284322447
613227,ENSG00000214511,HIGD1C,HIG1 hypoxia inducible domain family member 1C,-4.275303871,-3.077753827,-25.43192119,1.48E-06,0.000456636,4.353519437
11068,ENSG00000114395,CYB561D2,cytochrome b561 family member D2,1.295192728,4.460360859,26.64035475,1.51E-06,0.000457025,6.355644701
4907,ENSG00000135318,NT5E,5'-nucleotidase ecto,1.622383437,7.654184704,27.73610579,1.53E-06,0.000457025,6.271880892
55900,ENSG00000089335,ZNF302,zinc finger protein 302,-1.751781605,4.27387507,-27.71305863,1.54E-06,0.000457025,6.375762995
9738,ENSG00000103540,CCP110,centriolar coiled-coil protein 110,-1.452265506,4.670394596,-27.30385617,1.55E-06,0.000457025,6.342610185
7056,ENSG00000178726,THBD,thrombomodulin,5.776391879,2.886721858,27.24260944,1.67E-06,0.000484783,5.993218374
309,ENSG00000197043,ANXA6,annexin A6,1.437863208,5.154757552,27.22346022,1.67E-06,0.000484783,6.245303591
3625,ENSG00000163083,INHBB,inhibin subunit beta B,0.832600905,7.70536896,25.05691025,1.69E-06,0.000485365,6.077122687
83692,ENSG00000102181,CD99L2,CD99 molecule like 2,0.55337677,6.187559001,24.71494038,1.71E-06,0.000485365,6.088197376
3589,ENSG00000095752,IL11,interleukin 11,2.530028704,6.480502935,26.9745114,1.75E-06,0.000492894,6.155933887
51134,ENSG00000173588,CEP83,centrosomal protein 83,-1.941397616,2.725305898,-25.91001427,1.80E-06,0.000494358,6.196390774
716,ENSG00000182326,C1S,complement C1s,2.58135021,6.150912764,26.7647475,1.82E-06,0.000494358,6.126390983
10198,ENSG00000051825,MPHOSPH9,M-phase phosphoprotein 9,-2.239021889,4.035544425,-26.76071952,1.82E-06,0.000494358,6.213441622
55329,ENSG00000138587,MNS1,meiosis specific nuclear structural 1,-2.209780731,1.908959348,-25.27479261,1.83E-06,0.000494358,6.064122877
64780,ENSG00000135596,MICAL1,"microtubule associated monooxygenase, calponin and LIM domain containing 1",0.626492037,5.549564571,24.34258691,1.85E-06,0.000494358,6.030090353
23028,ENSG00000004487,KDM1A,lysine demethylase 1A,-0.871574916,7.341618409,-24.85174235,1.88E-06,0.000495775,5.97696817
339761,ENSG00000186684,CYP27C1,cytochrome P450 family 27 subfamily C member 1,-1.26207417,3.528618175,-24.63109817,1.89E-06,0.000495775,6.140997338
22800,ENSG00000133818,RRAS2,RAS related 2,0.867244727,5.094626122,24.1884877,1.91E-06,0.00049641,6.019875235
9584,ENSG00000131051,RBM39,RNA binding motif protein 39,-0.862570447,7.657698445,-24.71982447,1.94E-06,0.000500767,5.939702116
5296,ENSG00000105647,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,0.687701298,7.257652556,24.04286242,1.96E-06,0.000502549,5.903943231
56241,ENSG00000099994,SUSD2,sushi domain containing 2,3.6350591,2.801879965,26.13906002,2.04E-06,0.000517469,6.024596211
3689,ENSG00000160255,ITGB2,integrin subunit beta 2,1.879003586,5.755467271,26.03771919,2.08E-06,0.0005223,5.986932075
10059,ENSG00000087470,DNM1L,dynamin 1 like,-1.18684273,6.71715904,-25.82843315,2.12E-06,0.0005223,5.922949474
170958,ENSG00000203326,ZNF525,zinc finger protein 525,-2.512485278,3.829574598,-25.91700848,2.13E-06,0.0005223,6.062646017
55599,ENSG00000185946,RNPC3,"RNA binding region (RNP1, RRM) containing 3",-2.13548174,3.386323622,-25.87878565,2.14E-06,0.0005223,6.058385847
5526,ENSG00000068971,PPP2R5B,protein phosphatase 2 regulatory subunit B'beta,1.153470219,5.068642022,24.99814696,2.15E-06,0.0005223,5.944242967
9169,ENSG00000139218,SCAF11,SR-related CTD associated factor 11,-1.496801387,6.765981081,-25.79166727,2.18E-06,0.000523951,5.898724616
4683,ENSG00000104320,NBN,nibrin,-0.996722873,6.022023174,-24.42797722,2.31E-06,0.000550902,5.811486666
6455,ENSG00000141985,SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2",0.864713143,5.506830881,23.42949151,2.35E-06,0.000555611,5.776248053
3224,ENSG00000037965,HOXC8,homeobox C8,-2.703850799,1.109873986,-24.01740022,2.39E-06,0.000562001,5.608565435
7078,ENSG00000100234,TIMP3,TIMP metallopeptidase inhibitor 3,-1.407406132,6.474483684,-25.20113631,2.44E-06,0.000566435,5.78160527
24144,ENSG00000100109,TFIP11,tuftelin interacting protein 11,-0.840238744,4.024088057,-23.00625659,2.45E-06,0.000566435,5.8159447
51303,ENSG00000134285,FKBP11,FKBP prolyl isomerase 11,-2.23896171,2.329291863,-24.67607855,2.48E-06,0.000566786,5.857923716
57153,ENSG00000129353,SLC44A2,solute carrier family 44 member 2,0.965132312,8.381573562,24.32829272,2.52E-06,0.00057195,5.679214103
55635,ENSG00000024526,DEPDC1,DEP domain containing 1,-1.750147272,4.716557623,-24.92193386,2.57E-06,0.000577539,5.809612406
58473,ENSG00000021300,PLEKHB1,pleckstrin homology domain containing B1,0.788144806,5.738322666,22.76062446,2.59E-06,0.000577539,5.644757068
339745,ENSG00000144228,SPOPL,speckle type BTB/POZ protein like,-1.055901948,5.004315515,-23.77635807,2.60E-06,0.000577539,5.7274472
4680,ENSG00000086548,CEACAM6,CEA cell adhesion molecule 6,-1.814207332,5.485330135,-24.79027464,2.64E-06,0.000580283,5.73840058
7153,ENSG00000131747,TOP2A,DNA topoisomerase II alpha,-1.343446482,6.853834643,-24.74582492,2.66E-06,0.00058083,5.672073051
79791,ENSG00000103264,FBXO31,F-box protein 31,0.724338528,5.083715242,22.5936678,2.69E-06,0.000582653,5.639249129
90355,ENSG00000181751,MACIR,macrophage immunometabolism regulator,-1.06705976,4.300008628,-23.12411635,2.76E-06,0.000592669,5.696521817
586,ENSG00000060982,BCAT1,branched chain amino acid transaminase 1,-1.502163507,8.286970173,-24.52643522,2.78E-06,0.000592669,5.600967321
8940,ENSG00000100038,TOP3B,DNA topoisomerase III beta,1.553662417,5.65776138,24.46990607,2.81E-06,0.000593917,5.656541001
55259,ENSG00000118307,DNAI7,dynein axonemal intermediate chain 7,-2.30759446,0.455343919,-22.36410204,2.83E-06,0.000593917,5.342372428
10769,ENSG00000145632,PLK2,polo like kinase 2,0.718620301,7.329358752,22.32109086,2.86E-06,0.000593917,5.479636572
375790,ENSG00000188157,AGRN,agrin,0.904580194,9.59465909,23.55935957,2.87E-06,0.000593917,5.519482315
26086,ENSG00000160360,GPSM1,G protein signaling modulator 1,1.275135802,4.157047357,23.62573029,2.91E-06,0.000593917,5.678811665
160518,ENSG00000170456,DENND5B,DENN domain containing 5B,-1.004563927,3.061661857,-22.18762965,2.95E-06,0.000593917,5.687494991
9666,ENSG00000198919,DZIP3,DAZ interacting zinc finger protein 3,-2.101425676,6.276650547,-24.22620318,2.95E-06,0.000593917,5.582824135
81788,ENSG00000163545,NUAK2,NUAK family kinase 2,1.643321371,3.754103414,24.2208794,2.95E-06,0.000593917,5.716907461
1975,ENSG00000063046,EIF4B,eukaryotic translation initiation factor 4B,-0.432884742,9.610234588,-22.10372525,3.00E-06,0.000600321,5.405137318
54443,ENSG00000011426,ANLN,"anillin, actin binding protein",-1.20138803,6.24937129,-24.05812924,3.05E-06,0.000601146,5.537162635
29967,ENSG00000147650,LRP12,LDL receptor related protein 12,-1.529931963,5.080304811,-24.05507886,3.05E-06,0.000601146,5.597135427
22908,ENSG00000211456,SACM1L,SAC1 like phosphatidylinositide phosphatase,-0.790488169,5.334441529,-21.96051285,3.10E-06,0.000607476,5.465104577
102724954,NA,RGS2-AS1,RSG2 antisense RNA 1,-2.91699918,-3.758997634,-21.80821463,3.21E-06,0.00060758,3.886984858
256646,ENSG00000184507,NUTM1,NUT midline carcinoma family member 1,-2.91699918,-3.758997634,-21.80821463,3.21E-06,0.00060758,3.886984858
10913,ENSG00000135960,EDAR,ectodysplasin A receptor,-2.91699918,-3.758997634,-21.80821463,3.21E-06,0.00060758,3.886984858
339855,ENSG00000174611,KY,kyphoscoliosis peptidase,-2.91699918,-3.758997634,-21.80821463,3.21E-06,0.00060758,3.886984858
55769,ENSG00000167766,ZNF83,zinc finger protein 83,-2.248098008,3.880601992,-23.75921726,3.24E-06,0.00060758,5.622891021
348654,ENSG00000178295,GEN1,GEN1 Holliday junction 5' flap endonuclease,-2.031468931,3.607341547,-23.72230385,3.26E-06,0.00060758,5.62513192
338821,NA,SLCO1B7,solute carrier organic anion transporter family member 1B7 (putative),-2.221650372,1.539874851,-22.59661637,3.27E-06,0.00060758,5.498137956
7358,ENSG00000109814,UGDH,UDP-glucose 6-dehydrogenase,-0.947305536,8.45351877,-23.21469967,3.27E-06,0.00060758,5.389423152
79600,ENSG00000204852,TCTN1,tectonic family member 1,-1.126287811,4.541338747,-22.89426282,3.30E-06,0.00060758,5.509807875
124152,ENSG00000174628,IQCK,IQ motif containing K,-0.721596786,4.856924723,-21.60678992,3.37E-06,0.000616729,5.404497326
26020,ENSG00000197324,LRP10,LDL receptor related protein 10,0.859909091,8.453561188,22.61387838,3.43E-06,0.000621556,5.318413021
5586,ENSG00000065243,PKN2,protein kinase N2,-1.381550183,6.525826007,-23.41589033,3.47E-06,0.000621556,5.382495567
6596,ENSG00000071794,HLTF,helicase like transcription factor,-1.213441285,6.193084416,-23.41175369,3.47E-06,0.000621556,5.391917864
5045,ENSG00000140564,FURIN,"furin, paired basic amino acid cleaving enzyme",1.084502863,8.21559995,23.40361253,3.48E-06,0.000621556,5.345191505
26099,ENSG00000055070,SZRD1,SUZ RNA binding domain containing 1,0.78118761,6.529819914,21.79440844,3.58E-06,0.00063263,5.271010014
677805,ENSG00000207145,SNORA18,"small nucleolar RNA, H/ACA box 18",-2.519772769,0.68178414,-21.77468713,3.59E-06,0.00063263,5.207757692
4102,ENSG00000221867,MAGEA3,MAGE family member A3,3.646422617,4.619755563,23.1515246,3.67E-06,0.000639561,5.477690001
3918,ENSG00000058085,LAMC2,laminin subunit gamma 2,1.707229048,8.809274278,23.14595415,3.67E-06,0.000639561,5.281042629
7399,ENSG00000042781,USH2A,usherin,-3.037159005,-3.698569287,-21.11246123,3.78E-06,0.000643464,3.840338442
5122,ENSG00000175426,PCSK1,proprotein convertase subtilisin/kexin type 1,-3.037159005,-3.698569287,-21.11246123,3.78E-06,0.000643464,3.840338442
2730,ENSG00000023909,GCLM,glutamate-cysteine ligase modifier subunit,-1.097589078,7.618626607,-22.9863175,3.80E-06,0.000643464,5.253716704
92092,ENSG00000146858,ZC3HAV1L,"zinc finger CCCH-type containing, antiviral 1 like",-0.829529868,5.102027352,-21.34429424,3.81E-06,0.000643464,5.264214284
5155,ENSG00000100311,PDGFB,platelet derived growth factor subunit B,0.867857174,6.475245381,21.98294609,3.86E-06,0.000643464,5.214867821
7072,ENSG00000116001,TIA1,TIA1 cytotoxic granule associated RNA binding protein,-2.146548254,5.974418598,-22.86713318,3.89E-06,0.000643464,5.284920922
390927,ENSG00000188227,ZNF793,zinc finger protein 793,-2.729890452,1.75615759,-22.85704478,3.90E-06,0.000643464,5.348213918
85456,ENSG00000149115,TNKS1BP1,tankyrase 1 binding protein 1,0.980363055,8.396796702,22.67074757,3.92E-06,0.000643464,5.201229091
7016,ENSG00000107140,TESK1,testis associated actin remodelling kinase 1,1.219584085,4.364627492,22.45683902,3.92E-06,0.000643464,5.34930952
57580,ENSG00000124126,PREX1,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",-1.466940625,2.639926362,-21.60926146,3.93E-06,0.000643464,5.428782043
51222,ENSG00000165804,ZNF219,zinc finger protein 219,0.743392762,5.775418222,21.01434394,3.95E-06,0.000643464,5.172470071
55700,ENSG00000116871,MAP7D1,MAP7 domain containing 1,1.457287164,7.207756134,22.7787773,3.97E-06,0.000643464,5.213525544
4772,ENSG00000131196,NFATC1,nuclear factor of activated T cells 1,1.056264093,4.266100849,21.70330413,4.02E-06,0.000646704,5.298524472
27074,ENSG00000078081,LAMP3,lysosomal associated membrane protein 3,-1.129795933,3.929281725,-21.71680588,4.03E-06,0.000646704,5.326943084
8633,ENSG00000182168,UNC5C,unc-5 netrin receptor C,-5.746918784,-2.348363905,-22.61117142,4.11E-06,0.000655553,4.010335246
26,ENSG00000002726,AOC1,amine oxidase copper containing 1,-4.002444852,1.270963705,-22.55688189,4.16E-06,0.000659491,5.078402538
10051,ENSG00000113810,SMC4,structural maintenance of chromosomes 4,-1.659416941,6.335596628,-22.53065376,4.18E-06,0.000659516,5.182119964
117608,ENSG00000178338,ZNF354B,zinc finger protein 354B,-1.634187805,2.757586469,-21.90525971,4.22E-06,0.000661363,5.370161393
5557,ENSG00000198056,PRIM1,DNA primase subunit 1,-1.10991533,4.13082878,-21.57428572,4.30E-06,0.000666244,5.245659964
283431,ENSG00000139354,GAS2L3,growth arrest specific 2 like 3,-1.918087708,2.892673787,-22.39922143,4.30E-06,0.000666244,5.362706802
51203,ENSG00000137804,NUSAP1,nucleolar and spindle associated protein 1,-1.328401083,5.085610168,-22.36150397,4.34E-06,0.000666244,5.203567978
1912,ENSG00000134686,PHC2,polyhomeotic homolog 2,0.705051069,6.914461676,20.76649038,4.34E-06,0.000666244,5.028015914
57508,ENSG00000108506,INTS2,integrator complex subunit 2,-1.258285501,3.701965733,-21.65873488,4.39E-06,0.000667252,5.267511961
55196,ENSG00000174718,RESF1,retroelement silencing factor 1,-1.576911053,4.928412812,-22.29534849,4.40E-06,0.000667252,5.202689818
115704,ENSG00000142459,EVI5L,ecotropic viral integration site 5 like,1.294028319,5.174311888,22.27439474,4.42E-06,0.000667252,5.175987798
1266,ENSG00000117519,CNN3,calponin 3,0.819445446,7.102475157,21.35205753,4.45E-06,0.000667557,5.033584452
23325,ENSG00000136051,WASHC4,WASH complex subunit 4,-2.042389293,5.150993122,-22.22344396,4.47E-06,0.000667557,5.178942005
5175,ENSG00000261371,PECAM1,platelet and endothelial cell adhesion molecule 1,-4.253474417,1.549828408,-22.16176199,4.53E-06,0.000673018,5.06204614
5501,ENSG00000186298,PPP1CC,protein phosphatase 1 catalytic subunit gamma,-1.276066262,7.324407195,-22.11972767,4.57E-06,0.000673532,5.049168353
79612,ENSG00000172766,NAA16,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",-1.334045888,3.197278528,-21.27932194,4.58E-06,0.000673532,5.254254135
1062,ENSG00000138778,CENPE,centromere protein E,-2.221507433,4.136413035,-22.08672289,4.60E-06,0.000673532,5.22959669
7030,ENSG00000068323,TFE3,transcription factor binding to IGHM enhancer 3,0.767390822,6.237228376,20.73603495,4.68E-06,0.000679505,4.983342872
80789,ENSG00000185085,INTS5,integrator complex subunit 5,0.521120178,5.240741859,20.22261709,4.70E-06,0.000679505,5.0026101
316,ENSG00000138356,AOX1,aldehyde oxidase 1,2.487046634,4.758730372,21.97620931,4.71E-06,0.000679505,5.159781613
89887,ENSG00000197483,ZNF628,zinc finger protein 628,0.780976564,5.005629032,20.31320766,4.75E-06,0.000680065,5.016474558
54682,ENSG00000111261,MANSC1,MANSC domain containing 1,-0.601783157,5.77364965,-20.16499826,4.77E-06,0.000680065,4.955240783
